NAME_0,rs_1,rs_2,rs_3,rs_4,rs_5,rs_6,rs_7,NAME
Afghanistan,.89607275,.34482583,.25566354,.083541051,.55301189,.1686821,.16680892,Afghanistan
Albania,.56661797,.38515931,.23440801,.041098025,.44688308,.17806707,,Albania
Algeria,.5613541,.32841203,.2671808,.076729327,.36340174,.20596525,,Algeria
Argentina,.78238839,.41983899,.26627082,.1026742,.52978939,.1458329,.069502503,Argentina
Armenia,.45681229,.10220018,.062545598,.022538386,.34771457,.056747664,,Armenia
Australia,.78721523,.12439013,.22485301,.11323106,.38519222,.10768508,.0350997,Australia
Austria,.40669778,.17662945,.15213694,.10848534,.33691123,.087564677,,Austria
Azerbaijan,.82311469,.43024611,.27764887,.096282661,.36281848,.10048475,,Azerbaijan
Bangladesh,.46941593,.34757903,.21495865,.065431692,.30688471,.14873774,.16485316,Bangladesh
Belarus,.7888189,.50043643,.39550629,.12198086,.52239001,.27547756,,Belarus
Belgium,.71768302,.12124697,.14956625,.075101286,.40978077,.093030564,,Belgium
Benin,.20363458,.1671387,.056106154,.031319153,.090754993,.10848002,.015390448,Benin
Bolivia,.28450993,.18586095,.022240501,.0034434255,.045895331,.048631515,.011903353,Bolivia
Bosnia and Herz.,.64721042,.2612946,.27395436,.045568924,.41863281,.043019902,,Bosnia and Herz.
Botswana,.57476771,.42337504,.39862779,.18052286,.52221745,.30570027,.30446211,Botswana
Brazil,.70770782,.28606126,.22360422,.0466705,.30904922,.061711706,.0070989514,Brazil
Bulgaria,.79493499,.34125575,.08683753,.052040033,.32803303,.073463954,,Bulgaria
Burkina Faso,.14086634,.31726548,.11830045,.20160258,.082975917,.62132484,.31278011,Burkina Faso
Cambodia,.074249417,.086904809,.063669465,.040837046,.21403493,.076708734,.026592152,Cambodia
Cameroon,.23396502,.097414725,.04320439,.029277086,.12524642,.10108726,.049968172,Cameroon
Canada,.70297188,.28966516,.3468008,.15614228,.57010394,.22903132,,Canada
Chad,.52602446,.48304141,.3728492,.29998642,.4460035,.43795362,.3752197,Chad
Chile,.68282008,.31589663,.19313917,.062264852,.35341388,.064103827,,Chile
China,.38996065,.16523637,.089887187,.074201725,.26818907,.12949373,,China
Colombia,.38711557,.1019761,.039966878,.018159332,.17276014,.044501923,.0021319254,Colombia
Comoros,.49124238,.43309867,.33761269,.15627728,.4558689,.17339639,.31247976,Comoros
Congo,.68517941,.45992869,.32541189,.22236301,.55145925,.28018358,.28038764,Congo
Costa Rica,.26329178,.13311036,.062214617,.025845075,.15580146,.022385923,.0075584422,Costa Rica
Croatia,.92165512,.078443959,.038189463,.011458593,.58826184,.12636265,,Croatia
Cyprus,.67748457,.20005541,.15691245,.29303551,.64685518,.16825156,,Cyprus
Côte d'Ivoire,.41921327,.120116,.027402868,.024542911,.18041728,.061444186,.0078542689,Côte d'Ivoire
Denmark,.53715891,.068967037,.15611808,.17765199,.20635116,.053986415,,Denmark
Dominican Rep.,.79359686,.4166075,.28168374,.12526821,.58257306,.14833172,.091127567,Dominican Rep.
Ecuador,.24154316,.1043078,.057894588,.0062005748,.049633998,.0062005748,0,Ecuador
Egypt,.71720886,.35258219,.18497524,.0054743555,.31850925,.021289973,,Egypt
El Salvador,.77308905,.38083598,.42442909,.18545495,.66114998,.26242778,.24235255,El Salvador
Estonia,.62072837,.2293334,.10891591,.053004667,.34456542,.053233419,,Estonia
Ethiopia,.68314999,.28693461,.22372288,.098228619,.51503146,.27253732,.13127074,Ethiopia
Finland,.60940439,.093710788,.16542779,.12794864,.32249725,.071964882,,Finland
France,.5621773,.2955831,.20582002,.053486541,.54510248,.088573299,,France
Gabon,.74885225,.42787558,.3115553,.17164981,.54738587,.25399092,.16635264,Gabon
Gambia,.59559792,.38334489,.24134569,.13879643,.39140216,.23946592,.15759389,Gambia
Georgia,.77745908,.1169295,.033785935,.063809179,.43414852,.090716332,,Georgia
Germany,.67106438,.25209287,.17134042,.059576165,.36784503,.21182019,,Germany
Ghana,.34541127,.27594444,.1398308,.053980108,.13969395,.051208645,.047756873,Ghana
Greece,.86792779,.12340289,.06666097,.086843297,.55971247,.10753603,,Greece
Guatemala,.60726523,.37105796,.37961909,.21876086,.54500902,.20748648,.24885792,Guatemala
Guinea,.74513561,.43588448,.44695875,.31665888,.59130287,.51095831,.43055919,Guinea
Honduras,.28322196,.070059188,.011368923,0,.13680597,0,.011111415,Honduras
Hungary,.70382917,.16342574,.095436446,.039716773,.31236169,.050034672,,Hungary
India,.27783763,.16594811,.15725859,.053902417,.32536381,.10899067,.0746748,India
Indonesia,.22356912,.19179854,.088791095,.022743797,.066315182,.043622125,.0069457088,Indonesia
Iran,.64354032,.27631903,.29017287,.1034546,.54103053,.091539852,.039283026,Iran
Iraq,.66403568,.3626045,.31866062,.12679397,.49850267,.13505143,.18119983,Iraq
Ireland,.73745662,.25336874,.14556545,.12870677,.33031932,.1480215,,Ireland
Israel,.75932544,.29842904,.14638186,.092704639,.31998283,.10478582,,Israel
Italy,.8620826,.08597932,.28669938,.20733476,.63694143,.57055038,,Italy
Japan,.54383004,.18598269,.32096058,.061739177,.34502304,.078517377,,Japan
Jordan,.39139751,.14034785,.063114829,.01088219,.1838944,0,.011401509,Jordan
Kazakhstan,.77389258,.10221665,.06645412,.062026601,.49425244,.07410489,,Kazakhstan
Kenya,.18351139,.097844593,.0089029418,.020291552,.19908838,.092383273,.0075103072,Kenya
Kuwait,.69012165,.20829184,.21149462,.27164146,.43567055,,.19703971,Kuwait
Kyrgyzstan,.68512768,.12285094,.083388463,.035470024,.21621026,.048103061,.027637536,Kyrgyzstan
Laos,.39089847,.31310749,.35095561,.091795295,.4822402,.15534216,.17674233,Laos
Latvia,.71509433,.29513299,.13673051,.1153346,.52406311,.17731009,,Latvia
Lebanon,.73023164,.24377808,.18382251,.022055311,.52289361,.03043928,.029720526,Lebanon
Liberia,.37240246,.31055978,.049732029,.039650403,.20679274,.061886545,.015383304,Liberia
Libya,.74111742,.30820781,.32322583,.16087902,.54991174,.2538476,.22183721,Libya
Lithuania,.69127512,.32939288,.15882826,.019008856,.50672597,.042275574,,Lithuania
Luxembourg,.60157824,.27137855,.25445408,.10639769,.3758679,.36384493,,Luxembourg
Macedonia,.34249115,.44106004,.279825,.1072507,.24433458,.080576487,,Macedonia
Madagascar,.49116161,.055841289,.0095625818,.12809934,.091054529,.12123064,.020321025,Madagascar
Malawi,.26157457,.20517917,.033137865,.051264703,.098488964,.18629293,.055540323,Malawi
Malaysia,.65785629,.11513413,.16221386,.16438709,.37140504,.19768976,.056838203,Malaysia
Mali,.68577892,.37365901,.32842195,.25957301,.50912172,.45708942,.38737327,Mali
Malta,.63188994,.21768445,.27350494,.050712232,.30923742,.11646333,,Malta
Mauritania,.7037431,.24417748,.15933725,.054068495,.43367815,.085122406,.081037231,Mauritania
Mauritius,.48340797,.4741475,.46499044,.061570704,.32518265,.13987468,,Mauritius
Mexico,.3042942,.22271369,.073542394,.01394256,.13088571,.022470912,.012845171,Mexico
Moldova,.60277778,.4463048,.31835756,.14490028,.4318265,.097143389,,Moldova
Mongolia,.59010595,.30192733,.19953446,.090604201,.37641028,.12124118,.13926622,Mongolia
Montenegro,.6227023,.19389561,.085123517,.065477677,.19882552,.09425848,,Montenegro
Morocco,.38303891,.2881296,.088550076,.0026101759,.25531179,.055232339,.010271844,Morocco
Mozambique,.18331666,.19375309,.056654122,.045493349,.041300263,.11435544,.013099415,Mozambique
Myanmar,.47391403,.25377399,.26757252,.046466008,.40835544,.21580857,.10990061,Myanmar
Namibia,.29495922,.21160443,.12024575,.059750125,.14885437,.097464122,.064037785,Namibia
Nepal,.1887392,.43369225,.32962146,.058084033,.41313431,.16108255,.21182805,Nepal
Netherlands,.52641922,.27421513,.14420606,.14480183,.31118891,.14655159,,Netherlands
New Zealand,.71360093,.1773102,.25907362,.054631002,.41868314,.10562629,.026336789,New Zealand
Nicaragua,.61832058,.40102518,.41010073,.069732822,.449644,.13585749,,Nicaragua
Niger,.14765076,.12558064,.077872053,.0006308101,.13216692,.028476369,.0032209039,Niger
Nigeria,.30541641,.15199013,.086823188,.065496586,.16328417,.096615613,.06711556,Nigeria
Norway,.77295399,.2901409,.1999213,.12093808,.39485747,.26423624,,Norway
Pakistan,.41948923,.14724253,.17518441,.070909649,.19518222,.046183735,.10049575,Pakistan
Panama,.6126914,.36020926,.28617024,.19668558,.48985955,.24731289,.098758869,Panama
Paraguay,.7215187,.34372595,.13526723,.17796533,.48967382,.23359945,,Paraguay
Peru,.25445834,.18092437,.037817597,.011828393,.1864364,.031996086,.044837628,Peru
Philippines,.77291274,.39280376,.24495603,.18638352,.4185158,.36837703,.23753519,Philippines
Poland,.62341172,.18384567,.087425232,.063220851,.37720534,.16875957,,Poland
Portugal,.76173294,.27236935,.26443157,.11201574,.43955186,.12555623,,Portugal
Romania,.59834498,.42672017,.21436009,.023553958,.3112143,.015599759,,Romania
Russia,.772223,.24423578,.17140503,.15537548,.48147982,.17940365,,Russia
Rwanda,.54127204,.10478745,0,.021857249,.18760806,.058822624,0,Rwanda
Saudi Arabia,.74593335,.17619698,.20050199,.19345258,.51772356,,.050835777,Saudi Arabia
Senegal,.23566766,.18374357,.055943254,.010980587,.11897592,.20601168,.052605595,Senegal
Serbia,.82498246,.25855616,.11343088,.022820424,.39250606,.10758476,,Serbia
Sierra Leone,.67857331,.51844531,.23956008,.17546025,.44259122,.34788749,.36782309,Sierra Leone
Singapore,.34168333,.068072073,.09523055,0,.39240223,.19227001,,Singapore
Slovakia,.41056839,.35296834,.23506004,.16101864,.31631345,.10391352,,Slovakia
Slovenia,.77487242,.31477028,.46774101,.11890411,.55020159,.16597705,,Slovenia
South Africa,.59848952,.46941298,.48948655,.18929958,.51920342,.23077589,.24237475,South Africa
South Korea,.66827202,.11300974,.10259873,.029565882,.40777475,.064200133,,South Korea
Spain,.53365022,.22677597,.19085686,.15926805,.37651622,.21940207,,Spain
Sri Lanka,.50811964,.31153443,.16423346,.091028921,.24390161,.16846845,,Sri Lanka
Sweden,.78902614,.1658238,.15122935,.078353032,.48528764,.131864,,Sweden
Switzerland,.40441778,.10309234,0,.12072404,.41023648,.33721554,,Switzerland
Taiwan,.5526439,.21029408,.12507023,.043966278,.26853839,.17715643,,Taiwan
Tajikistan,.38631091,.33730668,.3626149,.044716071,.35448143,,,Tajikistan
Tanzania,.25286657,.16993314,.070391029,.074637756,.084696732,.18365659,.020735087,Tanzania
Thailand,.31649128,.046938635,.028064216,.015007835,.055479739,.13915002,.0030998469,Thailand
Togo,.77651691,.38302708,.41527948,.37276334,.61940145,.28877342,.29877266,Togo
Tunisia,.55139577,.22429611,.056730669,.022375572,.093399137,.034976155,.023088638,Tunisia
Turkey,.67620856,.28453144,.29035354,.10321287,.50746298,.19014163,,Turkey
Turkmenistan,.76766878,.068821989,.18856797,.047861088,.18957283,,,Turkmenistan
Uganda,.19469164,.15923198,.063255236,.02790536,.12548213,.1493948,.017160632,Uganda
Ukraine,.71656513,.29161301,.15548623,.089434586,.3038547,.08670871,,Ukraine
United Arab Emirates,.55699581,.23629035,.3092038,.30255172,.47830567,.30776241,,United Arab Emirates
United Kingdom,.28990167,.23377788,.065087162,.02231656,.27730185,.14211495,.036879998,United Kingdom
United States of America,.68478084,.20934685,.34103855,.22209491,.47150946,.18555298,,United States of America
Uruguay,.72976482,.43446848,.30042431,.11200495,.44869947,.14761347,,Uruguay
Uzbekistan,.42275545,.23388965,.14343715,.08417324,.12715155,.18162394,,Uzbekistan
Venezuela,.74936771,.47024447,.32015434,.085094154,.49106559,.19564246,.11834433,Venezuela
Vietnam,.21439786,.19605465,.088980988,.03041295,.088330381,.10818484,.037234828,Vietnam
Yemen,.75317901,.48751488,.29836023,.035387982,.47768131,.054735672,.12618478,Yemen
Zambia,.37202188,.12190191,.054243162,.048916046,.098868854,.12196814,.11861524,Zambia
Zimbabwe,.65077192,.32054788,.3367894,.11297331,.4316231,.14264642,.1429244,Zimbabwe
eSwatini,.65468371,.55693704,.47574496,.16763268,.53824776,.23278409,.38013276,eSwatini
